text,label
Great cuddly set. Super quick to sew. ,0
"Cute bag with lots of storage space. 
Great illustrated step-by-step instructions ",0
"A really great pattern, even for beginners. The highlight is the panel in the middle. There are so many design options, each tote bag is different and unique. Instructions are super easy to understand and cutting with a projector is really easy. ",0
"Great cut for men! I have the same one for women. 

I don't know if I didn't read the instructions properly, but when I sewed the hoodie, I was always missing fabric and had to do some tricks. ",3
"As an absolute beginner I tried my hand at the tote bag, but the illustrated instructions and video made it not difficult at all and I sewed my first bag. Highly recommended!",0
"I am very happy with the pattern and instructions. The cut fits perfectly. Thank you very much for that, I am very happy with it. ",0
"Very nice pattern and the instructions are great too. Very suitable for beginners and quick to sew.
I used my scraps of fabric (coated cotton) on one side of the fabric and as the fabric was no longer high enough I",0
Very nice size labels and can be easily adapted to my needs ,0
Perfect pattern!!! Made twice in the form of high pyjamas for my wife and my 40-year-old son. They love them 👌,0
"The download worked really well, I was able to get started straight away. And the embroidery file is very neat and really well explained step by step. It was my first work of this kind and I am thrilled",0
"Very nice model, with the border slightly pressed at the bottom and sleeves, and very easy to make.",0
"Great eBook for summer and spring! 
Very good instructions. I love sewing! ",0
"Such a great and well-fitting cut, I'm delighted. Thank you for that ",0
"Magnificent dress, I loved the sewing, very simple and ideal for the big sizes that I made for a friend! ",0
"After I had sewn the Glimmors according to the size chart, I immediately sewed these one size smaller because the fabric is stretchy enough. Another pair of pants that I don't want to take off because they are so incredibly comfortable! 
The layers in the cut",0
I made these pants for my daughter in tergal. I already have a slightly worn version. I found this pattern easy to sew thanks to the well explained video. And what a pleasure to find a large size! I just widened the legs a little bit.,0
Merle is a really pretty shirt with great step-by-step instructions. You can choose between tunic and shirt length. Merle is super quick to sew.,0
"Great cut, easy to understand instructions and absolutely suitable for beginners. The darts in the top make for a very good fit. ",0
"I love this pattern!! Simply mega cool, quick to sew, really comfortable; an absolute favorite piece. With one big question: is there an update for projectors or A0 files? I don't glue anymore ;-) I would be sooooo happy. THANK YOU! ",0
Such a simple cut and such a great result. Already sewn several times in different lengths and with different materials. ,0
I believe that Schnittreif studio uses my body as a basis for creating the pattern. I can't explain any other way that the patterns fit me so perfectly. 😉,0
"These jogging pants have pleats. That's very special and my husband doesn't like it at all. So I took the half-finished pattern apart and will try to use a different pattern for the pieces, as I don't want to throw them away.",1
"Not my thing. Quick and easy to sew, but the shape is just too wide. If you like shapes like that, you'll find a good pattern here. ",2
"Super nice, figure-flattering pattern with illustrated instructions suitable for beginners that is quick to sew. ",0
"I've tried out various jogging pants patterns for my husband and sons over the last few months. This is the one we like least. Overall, everything is too wide (I don't know how many times I reduced the leg width so that it wouldn't",2
"The pattern is very nice, but the description is very poor. I'm missing more explanation and perhaps a picture, especially when sewing on the zipper",0
"Wow, what a great pattern! My sample pants really convinced me! I also particularly like the fact that the individual sizes are in layers and that you can even display two different seam allowances. The instructions are also very clear",0
"A great cut, all the pieces fit together perfectly and the result looks great!! 
There will definitely be more ISFLAKs to come.",0
A great and quickly glued pattern. The oversized coat can be sewn almost as quickly. The fit is really great. A great basic cut that invites you to let your creativity run wild.,0
Sewn really quickly and always different depending on the type of fabric... very versatile,0
Great gift idea for Advent. Instructions are clearly written and easy to follow.,0
"super pattern!! my son and his girlfriends didn't like this pattern!

I had to make 6 of them, I thought!

the last week was made in the HEMMERS BORDEAUX FABRIC, MAGNIFIQUE!

it also has to have a video of the children's pattern to help with the production

the ",0
Very pretty door wreath. Instructions are clearly written and easy to follow. But you do need a lot of experience to follow this one. ,0
Missingly bought but impossible to have the pattern. Just inscribed... pattern error,1
Great instructions are clearly written and easy to follow.,0
A wonderfully variable pattern. The fit is great. A project that was sewn really quickly and with great results. The instructions are great and what I find particularly great is that it is a pattern for the whole family.,0
"Definitely not my world. Explained calmly and patiently, but I still return to the knitting needles remorsefully. The result did not convince me. ",1
"A beautiful and versatile pattern! And it's sewn up in no time at all. I'd say that thanks to the good description, it's also suitable for beginners. I think the collar and the wonderfully flowing skirt are really beautiful. I've already made two versions.",0
"What kind of instructions are these? No explanatory pictures, nothing. These aren't my first pair of trousers, but I don't understand a thing! ",3
"The coat hasn't been made yet, but I needed to be more precise that the tutorial is well linked to the pattern owner. Well explained with photos and diagrams. ",0
"I myself know that other seamstresses, it's a very pretty dress but the explanations are not clear and even I think there is no such thing as a tutorial, very interesting and the photos are not clear, I just couldn't do any sewing but I lost my sewing machine, I lost the b",3
"Beautiful and very simply explained pattern. I sewed the first hoodie using it today and I am more than satisfied. Fit is also sufficient. ❤️
More to come. ",0
"Very content with this character and clapperboard. It allows you to measure according to your needs, such as the body or the waist length. Absolutely perfect.",0
"I'm really disappointed but it's the owner I bought.
The explanations about making the pants are sometimes very poorly translated (fabric to the bottom to be sewn on the other side, for example) and very easy to understand (at a level",3
"Unfortunately very confusing and not written for beginners. I have to cut the front part again and sew it together. The bib was also too big for the front part, I don't know if it has to be like that, I made it smaller because I'm so",2
"In short - I love this cut!
Whether with or without a flounce, with long sleeves or shorts.

This casual shirt is so simple to sew and still has that certain something.

Simply a great cut!",0
"The pattern gets full marks from me. As always, the instructions are easy to understand and the steps are easy to follow. The bag is a good size and the different Design options really make a difference. Thank you.",0
"I have only embroidered 2 models. Unfortunately, the handle was embroidered in the wrong place on one of the patterns. ",1
I'd be happy to do it again.,0
"My son loves this cut, there are a few hanging in the closet. It's so quick to sew and each hoodie is a unique eye-catcher. Now the old pieces just have to go and new ones have to go. The 116 really has lots of sizes with",0
I put part of the applique on my grandson's T-shirt for his 7th birthday. It was very well received.,0
Great pattern! The size chart is accurate and thanks to the cut there is enough room in the chest area so that I can manage without FBA.,0
A beautiful dress! Perfect fit for me 💕,0
I really like the dress! Such a beautiful cut 💕,0
"I love this boss, I have 4 pajama pants on and I don't want this model anymore ❤️❤️❤️❤️❤️",0
A great dress for special occasions. The instructions are very easy to understand and include lots of tips 👍,0
Great blouse with a pretty bow! Instructions are detailed and understandable 💕 Thank you,0
"I got on very well with the pattern and it fits my husband well (in the size he would normally buy). The instructions are also good.

However, there is definitely no body measurement chart. So I ""pre-sewn"" it once",1
The jacket fits perfectly and the instructions are very well explained! A must-have for walking lovers,0
"The cut fits perfectly. Finally a pair of trousers that actually fit, thank you very much 👍. Great, detailed instructions",0
"Super cut 
Great 👍",0
Extremely great cut with incredibly detailed instructions and help if anything needs to be adjusted. Love my Pria ♥️,0
A pair of trousers with guaranteed success - the time and effort is definitely worth it!,0
"I just wanted to print out the pattern, but the control square is only 4.7cm instead of 5cm measured with a ruler!

I have bought a lot of patterns, but never had this problem!!

Do I need to give more seam allowance now? Please let me know if you have any questions.",2
My daughter and I are absolutely delighted with the cut. We sewed it from bamboo jersey. It conceals problem areas around your stomach really well.,0
"Exactly the cut we needed: narrower at the waist, a little wider at the bottom, easy to sew and a good fit. There is also a size chart that can help you estimate the size to sew even better. 
For very small",0
"Unfortunately, the fabric information was wrong. I wanted to sew a dress with short sleeves and had 2.2 m (it says from 1.8 m depending on the arm length!). The back and the sleeves no longer fit on the fabric!

The pattern also had",2
another great file - with such a fitting saying - :) THANKS for that :),0
The pattern pieces do not fit together. Why is there this offset in the side seams? My back pieces are two cm longer than the front piece. (Exactly the length that is created by sewing the bust darts). The size chart also seems very,1
"A great e-book, updated to the latest version. 
In no time at all you can sew a great glasses case to match any bag.",0
Very easy to sew utensil and looks pretty,0
Something different for my granddaughter very interesting because she is a little collector,0
"A really great cut. Thanks to the detailed description, it is also easy to sew for advanced beginners. There is even a YouTube tutorial for the fly. 
I'm happy to give this 5 out of 5 ⭐️",0
I LOVE my NEW PANTS PRIA. My first pants with a zipper 🥹 at first I was worried about whether it would work and of course you have to make adjustments for your body. But the instructions are great 💣 and I wear my Pria n,0
"Hello Sandra,
did you sew the romper with cuffs or with elastic on the legs?

Do you have snap fasteners on the legs?

I'm not sure how to sew it.

Greetings, Maria-Luise",3
"Super cool cut.

Exact step-by-step instructions

Very detailed description

Levels can be selected and activated

NZG can be selected and activated

100% purchase recommendation",0
"Over the years I've purchased and downloaded many sewing patterns without any doubt, JOTDOT's patterns are the best! I'm amazed at the attention to detail and effort put into each of the two patterns I purchased. Very impressive!!",0
"I haven't embroidered it yet, but I thought the special offer and the motif were great.",0
"I am a beginner at sewing and was skeptical at first whether I would be able to do it with ""just"" written instructions.
The worry was completely unfounded. It is a really fantastic instruction manual. Everything is explained in detail with pictures and text. K",0
I think the top is great. I would recommend sewing it one size larger than you would normally sew. I think the fabric would be too stretchy otherwise. But that's my personal preference.,0
Great model very well explained To return,0
"What a great cut! Fits me like a glove, was well described and easy to sew!
It was fun ;-)
Thank you!",0
"I think the instructions are generally suitable for beginners, except for one small detail at the end. It is about casting off stitches together with a separate needle. This could have been described in more detail. The hat looks like",3
"This blouse has been on my to-do list for a long time. I based my measurements on the table. The instructions are 7 pages long. Personally, I feel that some information is lacking:
Adjustment tips would be helpful. The blouse fits me perfectly now.",3
"What a great pattern, easy and understandable to sew.
Fits perfectly, the second rascal is in the works.",0
Great pants. Fits really well. The instructions are a bit short in places and can only be understood with additional videos.,3
"I love this bear, it's a winter version (in a coat). I imagine many other versions. She is comfortable and of good quality but her morphology",0
"Nice, easy-to-understand instructions. Everything is described very precisely and step by step, so that even beginners can easily manage it.
A size chart would be really helpful, the fit is a bit difficult. My child is tall and",0
"Dressed two times in the simple long sleeve version, but with two longer ones the second to give an asymmetrical side that is better. Problem-free implementation thanks to clear explanations, everything can be done without hassle.",0
"I'm thrilled :-) Great cut, superbly explained! The result is impressive.",0
I love love love this cut,0
"Very nice model, easy to make. Very nice finish!",0
"Hello Steffi, I am totally enthusiastic about your course. Very well explained with great examples - so you can understand the tips straight away. Very professional! After a break from sewing for years, I was able to refresh some things and learn a lot of new things.",0
"Very complicated to glue. If the printer prints something crooked, it won't work right away, unlike the patterns where you can cut off a piece of the edge along a line.
The pants look very nice, at least in the photos.",1
"I love this pattern! It does take some hours to sew, but the instructions are well explained step by step and with pictures that show the process as well. I can really recommend buying this pattern even if sewing a wallet scares you a bit.",0
"The instructions for the front are again full of mistakes. If you already have 20 rows more at the bottom, how are you supposed to increase and decrease at the top in the same way as you did for the back? That doesn't work. The advantage is 20 rows longer.",1
"Very well explained course. I made a pattern myself for the first time and I am happy with the result. However, I had two problems. The main problem: I stuck to the measurements used in the course for the upper arm width and now",1
I think it's great. Fits my daughter perfectly,0
"This user is not very clear because he is used to assembling, all undesirable damage",3
"PETITE DRESS SUPER SIMPLE WITH BEAUTIFUL DETAILS, SIMPLE PRODUCTION",0
"I ask myself the question: ""are you taking the test before leaving this boss?"" »
Errors on the head such as a symbol « au pli » except that the opening part of the coloring page was cut off two times while only one was used.",1
"Sorry, a nice pattern, putting it together is a bit more annoying than with other providers. But what is not acceptable is having to print out the terms of use, advertising for your site and so on every time, because they are on the pattern",3
"From the beginning it is quite easy to sew. Because the heel is tailored for long, wide feet (1m70), I don't adapt to my little 1m50... and because of my morphology, I'm a little bit thin.",0
"Already sewn the pattern several times, great results - love wearing it. 
Instructions easy to follow for a beginner with some sewing experience - nicely described and illustrated.",0
The pattern is well illustrated and explained. Very good for using up leftovers.,0
Such a great pattern. Quick to sew and super versatile. There are no limits to the ideas. I'm delighted.,0
A great pattern that you can also use for leftovers. I think it's really great 🫶🏼,0
"I sewed the top together with the leggings. Since I have a bit more curves here too, I sewed the top with a D cup and lo and behold, everything fits perfectly 😂😅! 
I've actually had other experiences with that too e",0
"One of the most comfortable things there is 😬

The top is made in several parts so that the cups can be beautifully shaped. Thanks to the inner lining and edge processing with folded elastic, there are no chafing seams. I have added cups to my top",0
"Here the 5 year old is now happy about his pajamas with legs, fits perfectly ❤️🥰",0
"A great cut. Whether basic or with pockets and button placket, easy to sew. ",0
"Unfortunately I don't have an A4 file, just a projector and A0, what a pity",3
This way the beach dress will also be a lovely Christmas dress ❤️❤️,0
"I sewed size L for my 9-year-old. When I tried it on for the first time, it turned out that the ratio of thumb to the rest of the fingers wasn't right; the thumb was too short and there was still plenty of room for the rest of the fingers. Otherwise very",2
"Great cut, detailed instructions and a perfect fit for me. I can highly recommend it :) ",0
"The cut is simple and the trousers are pretty quick to sew. I used Romanit jersey, which is quite stretchy. I sewed a tunnel for the upper waistband and inserted an elastic band, as trousers with just a waistband don't stay up for me and I",0
"Unfortunately the instructions don't include the part about processing the neckline with the two facing pieces. Probably less of a problem for experienced sewers, but it would be nice if it were complete. There's nothing about it in the instructions for the dress either",3
Soooo many possibilities. I'm thrilled. I've already sewn 4 or 5...,0
"The pattern is supposed to be glued edge to edge

That doesn't work

I'm good with patterns but that

No thanks

Even at work where the paper lies neatly in the slot it doesn't work

",3
"I'm afraid this pattern is a mess, they say they're augmenting when they have to make the cuts, once a 6-edge border and once another 5-edge border... I'm making my own 3/4 count ",1
"Find the mistake

The pattern isn't right, please check otherwise it's a nice, simple sweater that's fun to make",1
"A very rough pattern with no details, size chart or fabric consumption for individual sizes. You have to work out the details shown in the photos yourself. The response to criticism is very unprofessional. The pattern is not suitable for beginners.",3
"There is a plus for the large number of patterns. However, I find the instructions to be too short and with very small pictures (no descriptions with the help of pictures) not particularly helpful. In addition, the items of clothing unfortunately do not fit perfectly. ",3
"I am not an expert but I have been around for 30 years and I don't understand anything big...
The pattern is difficult to assemble because there are no repeats. The explanations are lacunae and confusing. And above all, the heart is",3
Really bad. Dividing the zipper is almost impossible to sew if you don't have some experience with it! Not recommended!!!!,3
I sewed the blouse myself. Clearly described. Worked well.,0
"I have sewn the dress for the first time and I am simply delighted! It fits great, a bit oversized (except on the arms) and I love the pockets. The instructions are also well done and understandable <3",0
"Even as a non-beginner, these instructions are reduced to the bare minimum and poorly explained. I'm about to throw the whole thing in the trash. Unfortunately, I can't recommend it",0
Great pattern. Easy to sew. At least six dresses have been sewn using it. ,0
"A super beautiful pleated skirt with beautiful curves at the hem. I sewed it from a relatively thin fine corduroy - it falls great! Since I'm relatively short (1.58m), I shortened the skirt by a few centimeters. So I'm happy with the length and fit.",0
Such a great cut! We love it and the instructions are very easy to understand. ,0
"Despite having some sewing experience, I didn't find the pattern easy. The explanations were too brief and to the point in some places, so I made a few mistakes while sewing. 
With my experience, I was able to compensate/cover these up quite well,",3
A great cut with an incredible number of options for trying out and redesigning! The sample model made from bed linen turned out so beautiful that I wear it at home! :o),0
"That's what I get for it: crocheting until I drop!
I'm not the only one who likes the little duckling",0
"Honjour, I was ordered and it's about time to make this superb ensemble, but I couldn't find the video tutorial?! ",3
"This cut was my first coat. I really like it. Few parts, quick and easy to sew, and you can vary it (hood, pockets, zipper). What's more, this cut works with a lot of fabrics. My closet is going to fill up. ",0
"Nice cut, but I'm missing the seam allowance. With children's clothing, it should be included in the SM. I always find it quite time-consuming to add this myself or to remember to do so. ",3
"The pattern is well designed and the result is very satisfactory! However, the video tutorial is very nice and quite tasty for a beginner like me. ",0
"Superb pattern, a little bit big in real size for me. I reduced it by 70%. Very clear instructions. I strongly recommend it",0
"Perfect, light summer cut. Quick to sew, suitable for beginners! You have to have a pair of these in your closet. ",0
What ultra-comfortable leggings!!! I don't wear anything else at home anymore! I sewed them out of cotton jersey. None of the leggings I bought come close to that!!,0
"Dragon is very cute, the explanations are very, very nice, I rarely see the explanations too detailed. Especially regarding the creation of the head, no information about the opening to leave the head open to return it ",3
"I have so many patterns from DREIEM's, but the wrap shirt is the first pattern I have sewn so far and I am totally delighted. The pattern fits perfectly and looks really nice too. I will definitely buy the wrap shirt again ",0
"Such a great e-book. From cosmetic bags to bags, everything is included. ",0
"Unfortunately there are no sewing instructions, following the link provided doesn't help you 
It's a shame, because it's a nice pattern! 
",3
"I bought this pattern because the hoodie in the photo was exactly what I wanted. Unfortunately, I am very disappointed. The pattern has no fitting marks and the eyelets on the collar/hood were not marked either, but there are ",1
I am absolutely thrilled. I sewed a vest for my son and myself. Both turned out really great. But your scarf is a dream. Really beautiful and comfortable to wear.,0
"An absolutely recommendable pattern. The sizes fit perfectly even with slightly thicker fabrics such as sweat or fleece and is easy to make. Depending on the fabric you choose, you have endless possibilities, from delicate to cool. Everything suits the cut!!!",0
Very nice file ❤️🫶,0
"I am absolutely thrilled with this pattern package. So many possibilities in just one cut. I also think it is nice that you can combine the pattern with the clothing package. I have already made a few sweaters, shirts and hoodies with the",0
"I sewed 2 backpacks using the pattern. The instructions are sometimes not pretty and confusing. I was about to give up, but things went better with the 2nd backpack. 
Unfortunately, the straps tear very quickly as soon as a little more weight is added.",3
"A great e-book with lots of options for sewing an OhBeauti. The instructions are provided with lots of pictures, so that the sewing steps are easy to follow, and with the detailed descriptions I had no problems making my bag.",0
"A great pattern for girls and boys. You can use up leftover sweat fabric and be creative in the dividing seams, e.g. tuck in piping, or sew ruffles or cool woven ribbons on the shoulders.
I was very happy with the fit.",0
The Marlon is one of my favorite patterns and is also quite easy to sew.,0
"The e-book is super detailed, comprehensive and clearly described. However, the pattern is not for women with larger breasts. Despite adjusting the pattern and sewing in a bust dart, it still wrinkles. The shoulders are",0
"I took a long time to write while watching the video of how to put the elastic lace border on, but I don't see the details well. I let it rip, I lost a lot of time. The big plans aren't quite precise, the fabric isn't p",3
"Great designs, varied and never boring. Easy to work with. ",0
I'm still knitting the jacket. I've done more than half of it. I'm knitting with thinner yarn and have to adjust the instructions accordingly. It's going quite well. I think the instructions are good and the jacket is great!,0
Easy to make and very quick to cut well 🤩 ,0
"A really great file. It takes a bit more weeding, but it's worth it👍",0
"The instructions are easy to understand if you've sewn a few times, but not for beginners. The division and the pockets are a great idea and look great. However, the cut is unfortunately much too wide for harem pants and that",2
Really great for using up leftovers.,0
Really great cut. The instructions are also super precise and show everything step by step. This was my first jacket and I got on with it really well. The size information was also accurate. Highly recommended! 😊,0
Great Advent decoration. I gave several as gifts and they were well received. Instructions are well written and easy to follow.,0
"A super cute cuddly train for all big and small train fans!
Perfect as a neck pillow for long car journeys or in front of the TV.
The instructions are well written and suitable for beginners 😊",0
Very easy and quick to make bag with a lovely finish. This allows you to avoid the paper next Christmas.,0
"Simple model, easy, quick to make with a very lovely result
good size, I'm in my 6th dress!!
It hurts because it doesn't have lower sizes at 5 years... ",0
"The file wasn't uploaded at first, as others have already pointed out. So I pointed this out to the designer and she responded within a few hours (!!!) and uploaded the file immediately.

It's a great file and the designer",3
"You may have mixed opinions about the arrangement of the pattern pieces from this provider, but printing and assembling the pages was no problem for me. Elvira",0
Great pattern! Ideal for any season. Great instructions 👍,0
"Avis mitigé.
The written explanations are blurred, one gets lost with explanations that have nothing to do with the owner and certain explanations deserve to be blurred.
I master English and sewing a little bit than the YouTube video m",0
"I think the bag is beautiful, the pattern is very well explained and can therefore be implemented quickly.
The best thing for me, however, is that depending on the choice of material, you can make a casual, unusual or, as the name suggests, an elegant bag.",0
"As a beginner, I tried to follow these instructions, but even after several attempts I was unable to get it right. My daughter, who has more experience, also tried several times. I wrote to Mrs. Eder, but unfortunately even after several attempts",3
"I'm a little sad, 
it doesn't describe how to knit the socks you see in the picture.

That's the only reason I bought the instructions",3
Favorite pattern. Great to sew and the cut fits perfectly,0
"Nice cut. Whether chic or sporty, I think it's great in every variation.",0
A cute cut with really great instructions.,0
"Great pattern.
Easy to sew.
Great as a souvenir too.
Ideal for fabric scraps.",0
"Great sizes. Perfect as a gift or decoration.
Instructions are well described.",0
"Super nice shirt, easy to sew and the instructions are very well explained (:
The girls love the shirt",0
"The cut is very well studied, it doesn't mark the butt. Because I'm so small I reduced my height by about 15cm, I'm right there on the edges but I can't take it off the shoulders of my blouse!! I already have 5…",0
"I sewed the small size for my small guest towels. 
Very pretty and easy to sew",0
"Great pattern, sewn three times already - both with buttons and with zipper it worked without any problems and fits 👌🏻",0
"Great,
The cut and instructions are easy to understand, quick to sew, suitable for beginners, you can use up leftover fabric. I'm delighted.",0
I sewed the hat today. Great instructions and it looks great. And it's quick to cut out with a projector. Thanks for the great free book.,0
Very easy to sew shirt. I made sportswear out of it using breathable fabric.,0
"Beautiful cosmetic bag, the compartments give the bag a special touch.",0
A little bit of assembly of this model because the sewing margins are not included... it takes a while to make this model really big because you have to remove the assembly each piece. In my opinion the model is pleasant to the touch.,1
"Really chic, modern cut, everyone loves it, from the daughter to the grandmother! Conceals bulges and makes you look slim. My new favorite dress! The description is very good, sometimes I had to ponder how the boy",0
"Even I, a bag beginner, managed it well with the instructions. I'm super happy 😊",0
"I have sewn a few pairs of trousers so far, but none have been as comfortable as these. They fit incredibly well. Thank you for this lovely pattern",0
Hello. I bought the pattern but need an A4 file to use. Is that possible??? I would be very grateful for that otherwise I can't do anything with the pattern. Thank you...,0
"Ultra easy pattern, I had many different versions possible and imaginable for the whole family ☺️☺️",0
"Really great pattern! It is very time-consuming and takes a while to finish the sweater, but the result is stunningly beautiful ❤️. The instructions are very detailed and easy to follow. ",0
The rabbit looks absolutely great!!! I embroidered it on a black shirt. Everyone loved it!,0
"Good and understandable instructions, suitable for beginners.
Was very easy to sew with summer softshell and thin boiled wool.",0
"Great cut with very easy-to-understand instructions, also suitable for beginners",0
"Merle is super easy to sew and looks really chic, simply a brilliant pattern!
I particularly like the flounce, which can be sewn in 2 lengths and the shirt therefore goes with both a skirt and trousers 😀",0
"Very versatile options, good description and correspondingly good results. ",0
"Easy and quick to sew. Great instructions - great overview, perfect even for beginners ",0
"Great cut, easy to sew, and really nice for labels and trinkets:)",0
"I have tried out various jogging pants cuts for my husband and sons in the last few months.
This is the best cut for tall, extremely slim men.

It is made up of several cut pieces and topstitching the overlock seams with the N",0
"Very nice cut that I will definitely sew again. The slim shape makes it very figure-flattering in larger sizes. 

I made the waistband out of ribbed fabric and it fits perfectly.

My only criticism and therefore a ",0
"It was sewn really quickly and the fit is perfect! The instructions are very appealing, every step is well explained and illustrated. Really great eBook and it's free 🥰👍🏻",0
"Super pattern. Very detailed. The pants were cut once and are just perfect. I made my usual size, the size is very good. Be careful, if you buy jeans with a very small amount of elastic, you might expect an increase in the waist and thighs",0
"The pattern for the cuddly whale is really great and very well described, so you don't have to be afraid to sew cuddly toys yourself.",0
The pigs are quick to make and make a cute souvenir for New Year's Eve or as gift tags.,0
"Thanks for these explanations and his Barbie creations, I didn't think I could buy this",0
"Great instructions, well written and easy to follow.",0
Fits us perfectly! I like it so much that there's a ribbed version again 😍🙏🏼 cool hat!,0
"Very cute, cuddly comfort blanket. Great gift. Instructions are clearly written and easy to follow. I crocheted it for my great-grandson. He is completely in love with it.",0
